车次,类型,始发站,终到站,到时,开时,检票口
D7001,动车,武汉,黄冈东,----,06:07:00,检票口A7
G3220,高速,武汉,郑州东,----,06:20:00,检票口B2
D2179,动车,武汉,安庆,----,06:23:00,检票口A7
C5511,动车,武汉,大冶北,----,06:26:00,检票口A5
C5521,动车,武汉,大冶北,----,06:33:00,检票口A6
D5818,动车,武汉,宜昌东,----,06:36:00,检票口A2
G1103,高速,武汉,广州南,----,06:53:00,检票口B2
D7019,动车,武汉,黄冈东,----,07:00:00,检票口A5
G258,高速,武汉,青岛北,----,07:03:00,检票口B2
G431,高速,武汉,南宁东,----,07:06:00,检票口B4
D2231,动车,重庆北,厦门北,15:19:00,15:24:00,检票口B8
G1040,高速,深圳北,襄阳东,15:19:00,15:29:00,检票口B2
G2294G2293,高速,厦门,厦门,15:25:00,15:45:00,检票口B6
G690,高速,长沙南,北京西,15:27:00,15:44:00,检票口B2
G863,高速,兰州西,长沙南,15:29:00,15:33:00,检票口B3
G80,高速,深圳北,北京西,15:31:00,15:34:00, 
D2376,动车,厦门,重庆北,15:32:00,15:37:00,检票口B8
G72,高速,昆明南,北京西,15:36:00,15:39:00,检票口B2
G1039,高速,襄阳东,深圳北,15:39:00,15:43:00,检票口B5
G1546,高速,南宁东,杭州东,15:41:00,15:49:00,检票口B3
D7014D7015,动车,黄冈东,黄冈东,15:42:00,16:07:00,检票口A7
